	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
567	Hypanus longus						DD										DD							
568	Hypanus marianae				DD												DD							
569	Hypanus rudis									DD							DD							
570	Hypanus sabinus						LC										LC							
571	Hypanus say						LC										LC							
572	Hypnos monopterygius			LC												LC								
573	Hypogaleus hyugaensis					NT											LC							
574	Iago garricki			LC													LC							
575	Iago omanensis									LC														
576	Indobatis ori				DD															LC				
577	Insentiraja laxipella									DD						DD								
578	Insentiraja subtilispinosa									LC						LC								
579	Irolita waitii									LC						LC								
580	Irolita westraliensis											LC				DD								
581	Isistius brasiliensis			LC															LC					
582	Isistius labialis									DD														
583	Isistius plutodus						LC									LC								
584	Isogomphodon oxyrhynchus						CR																	
585	Isurus oxyrinchus									NT										EN				
586	Isurus paucus						VU													EN				
587	Lamiopsis temminckii									EN														
588	Lamna ditropis									LC										LC				
589	Lamna nasus						VU													VU				
590	Leptocharias smithii									NT														
591	Leucoraja circularis									VU						EN								
592	Leucoraja compagnoi									DD										DD				
593	Leucoraja erinacea									NT														
594	Leucoraja fullonica									NT						VU								
595	Leucoraja garmani									LC														
596	Leucoraja lentiginosa									DD														
597	Leucoraja leucosticta									DD														
598	Leucoraja melitensis						CR									CR								
599	Leucoraja naevus									LC						LC								
600	Leucoraja ocellata									EN														
601	Leucoraja pristispina											LC				LC								
602	Leucoraja wallacei									LC														
603	Leucoraja yucatanensis									DD														
604	Loxodon macrorhinus			LC																				
605	Maculabatis ambigua																			NT				
606	Maculabatis arabica																	CR						
607	Maculabatis astra											LC				LC	LC							
608	Maculabatis gerrardi									VU							VU							
609	Maculabatis pastinacoides									VU							VU							
610	Maculabatis randalli																	LC						
611	Maculabatis toshi									LC			LC			LC	LC							
612	Makararaja chindwinensis									DD	DD													
613	Malacoraja kreffti							LC								LC								
614	Malacoraja obscura							DD																
615	Malacoraja senta									EN														
616	Malacoraja spinacidermis							LC																
617	Megachasma pelagios					DD										LC				LC				
618	Megatrygon microps									DD						DD	DD							
619	Miroscyllium sheikoi				DD																			
620	Mitsukurina owstoni				LC														LC					
621	Mobula alfredi											VU								VU				
622	Mobula birostris											VU							VU					
623	Mobula eregoodoo			NT																				
624	Mobula hypostoma																			EN				
625	Mobula kuhlii									DD														
626	Mobula mobular																			EN				
